Continent,Year,Avg_CAGR,N_Countries
Africa,2015,1.7093956348328343,52
Africa,2016,1.64271501891791,52
Africa,2017,1.6024824447302428,52
Africa,2018,1.582199631138948,52
Africa,2019,1.5414665697883612,52
Africa,2020,1.293469123001186,52
Africa,2021,1.3270961793067653,52
Asia,2015,2.648520324739713,46
Asia,2016,2.6412243726243267,46
Asia,2017,2.6273574067805128,46
Asia,2018,2.616746854903135,46
Asia,2019,2.614118421536694,46
Asia,2020,2.299150571436045,45
Asia,2021,2.3759969285446765,44
Europe,2015,2.2792449205158123,42
Europe,2016,2.288481221060632,42
Europe,2017,2.3258411999963484,42
Europe,2018,2.3518421814995025,42
Europe,2019,2.3625336170255324,42
Europe,2020,2.085548404209494,42
Europe,2021,2.311985182438481,41
North America,2015,1.3304770070908423,29
North America,2016,1.3373812491508363,29
North America,2017,1.25911901420896,29
North America,2018,1.2501476909581835,29
North America,2019,1.3563851059428125,28
North America,2020,0.7606930393967802,28
North America,2021,0.9364637230207999,28
Oceania,2015,1.6826197913289591,14
Oceania,2016,1.6901350351958222,14
Oceania,2017,1.6017601020859045,14
Oceania,2018,1.5846090987899075,14
Oceania,2019,1.5822522578762093,14
Oceania,2020,1.3572283594560601,14
Oceania,2021,1.2100800894397619,14
South America,2015,2.354270732798799,11
South America,2016,2.2557354914393306,11
South America,2017,2.2211990729352173,11
South America,2018,2.179086049650443,11
South America,2019,2.100169972514363,11
South America,2020,1.8588049642344142,11
South America,2021,2.0141271267146243,11
