continent,year,gdp_pc_growth_pct_weighted
Africa,1991,-1.3464785437734077
Africa,1992,-2.1156345368606124
Africa,1993,-0.9250848976037829
Africa,1994,-0.8557443535545339
Africa,1995,1.4643848234936157
Africa,1996,3.596159594940652
Africa,1997,1.7929233667834232
Africa,1998,1.0897857242502165
Africa,1999,1.0708238743972547
Africa,2000,1.478615353588793
Africa,2001,2.7387089557862416
Africa,2002,3.124108452426041
Africa,2003,1.777371595302804
Africa,2004,4.25345540712602
Africa,2005,3.6280675714948303
Africa,2006,3.8575610111756293
Africa,2007,3.7611970940053054
Africa,2008,3.2006742322344093
Africa,2009,1.8862673488566515
Africa,2010,4.058918046464355
Africa,2011,2.5349890712184004
Africa,2012,2.7652575243140145
Africa,2013,2.1934694215609998
Africa,2014,2.929372104902668
Africa,2015,1.4103856906378207
Africa,2016,0.38519714266781563
Africa,2017,1.2093949196500846
Africa,2018,1.2309912740879976
Africa,2019,1.1220748233232343
Africa,2020,-3.164118155014706
Africa,2021,1.833124617436344
Asia,1991,3.069270490761246
Asia,1992,6.79985570459906
Asia,1993,6.376027083621189
Asia,1994,6.518786530327316
Asia,1995,6.462015706861203
Asia,1996,6.196287101732082
Asia,1997,4.374462423677371
Asia,1998,3.154017478552569
Asia,1999,5.2335043629820355
Asia,2000,4.6826316738969265
Asia,2001,4.423730079115441
Asia,2002,4.388687400524121
Asia,2003,6.2739494673606915
Asia,2004,7.202126064985973
Asia,2005,7.3258565913421
Asia,2006,7.867073766875627
Asia,2007,8.395869742107916
Asia,2008,4.756032217171761
Asia,2009,5.656096502197475
Asia,2010,7.194426433953054
Asia,2011,5.414498111613188
Asia,2012,5.191231592337599
Asia,2013,5.277188119337084
Asia,2014,5.336485431566239
Asia,2015,5.461237841614769
Asia,2016,5.698187692386386
Asia,2017,5.0804254449350434
Asia,2018,5.090779241558658
Asia,2019,3.7621680748468815
Asia,2020,-3.003371431769745
Asia,2021,5.954701754860312
Europe,1991,-1.4809603947439898
Europe,1992,-1.082722599811707
Europe,1993,-1.613703284776801
Europe,1994,0.09321515320178282
Europe,1995,1.5029961281754642
Europe,1996,1.8731327398746198
Europe,1997,2.498311604836568
Europe,1998,2.74850781327819
Europe,1999,2.2943747752054797
Europe,2000,4.210057482632513
Europe,2001,3.0227275165147534
Europe,2002,2.0352077524325742
Europe,2003,2.2962056017218972
Europe,2004,3.883933168340834
Europe,2005,2.4548898741709597
Europe,2006,3.9967283589908007
Europe,2007,3.8281546958986206
Europe,2008,1.2641534863766974
Europe,2009,-5.0225249974444095
Europe,2010,2.007159911496552
Europe,2011,2.225741489126255
Europe,2012,-0.4520295525393117
Europe,2013,-0.019764956509521033
Europe,2014,1.0957136267305037
Europe,2015,1.1597874574120424
Europe,2016,1.836391451202084
Europe,2017,2.783030093184744
Europe,2018,2.3447515218725026
Europe,2019,2.0400699352852834
Europe,2020,-6.112024467968396
Europe,2021,5.739351947000682
North America,1991,1.2639286052546228
North America,1992,1.8924804473936152
North America,1993,0.5420776315387491
North America,1994,1.4763668890798007
North America,1995,-3.762413584523168
North America,1996,3.632765083080399
North America,1997,4.175215780419243
North America,1998,3.043302510110343
North America,1999,1.8453299847450257
North America,2000,2.9572228749537324
North America,2001,-0.8574438478274746
North America,2002,-0.12170018003102427
North America,2003,0.4847783969409467
North America,2004,2.077247060444317
North America,2005,1.7978966632605382
North America,2006,3.1736892926904527
North America,2007,2.016531842930058
North America,2008,0.5145306587896975
North America,2009,-4.50014380692471
North America,2010,2.670882002458887
North America,2011,2.4273359778420978
North America,2012,1.8795475384416338
North America,2013,0.9315780623887211
North America,2014,1.8830880570288058
North America,2015,1.9067230298023454
North America,2016,1.4057547498579726
North America,2017,1.4960042907950488
North America,2018,1.3528929448410356
North America,2019,-0.2423139072014769
North America,2020,-7.765232960594703
North America,2021,5.038912335737366
Oceania,1991,-0.9704069888705377
Oceania,1992,1.3727223611889128
Oceania,1993,5.002124976290672
Oceania,1994,3.008447406941168
Oceania,1995,1.2784370615037821
Oceania,1996,2.703719694475059
Oceania,1997,0.4867218065217342
Oceania,1998,1.0118591171506566
Oceania,1999,2.8987036656927905
Oceania,2000,0.6914420526119514
Oceania,2001,0.08050378531483562
Oceania,2002,1.465749526116788
Oceania,2003,1.3890583555149068
Oceania,2004,2.3201258181603572
Oceania,2005,2.1612382361253646
Oceania,2006,1.5592643689094972
Oceania,2007,2.31335979252863
Oceania,2008,0.10085063726608524
Oceania,2009,0.4238671198861866
Oceania,2010,2.0684690704672697
Oceania,2011,0.5704591451103068
Oceania,2012,1.8710856077230338
Oceania,2013,1.111653466572204
Oceania,2014,3.326452413502222
Oceania,2015,1.5999302024290478
Oceania,2016,1.6745930107134852
Oceania,2017,0.9368962592105862
Oceania,2018,0.515978226809188
Oceania,2019,0.964447467337255
Oceania,2020,-2.899291993871837
Oceania,2021,0.9918244921601547
South America,1991,0.9799875323302139
South America,1992,0.1619824926969567
South America,1993,3.594273826140792
South America,1994,4.556235346320407
South America,1995,2.229568021503048
South America,1996,1.289925569786021
