continent,neet_2020_w,neet_base_w,neet_change_pp_weighted
Africa,28.22176264575642,26.813319737790827,1.4084429079655933
Asia,28.167348375867956,21.996224621419582,6.171123754448374
Europe,11.349974433747354,13.003407108685806,-1.6534326749384523
North America,21.362258234661613,20.617125348905322,0.7451328857562913
Oceania,16.482222671932362,10.322402374100346,6.159820297832017
South America,25.106702192054385,21.201291213418205,3.90541097863618
