continent,year,Avg_CAGR,N_Countries
Africa,1991,-0.31643874638119274,47
Africa,1992,-0.8957255251948716,47
Africa,1993,-1.121510313914319,47
Africa,1994,-1.1260373004376651,47
Africa,1995,-0.4088753422011006,47
Africa,1996,0.2631020022087666,47
Africa,1997,0.8293891666479485,47
Africa,1998,0.8891659478269648,47
Africa,1999,0.9158205636811524,47
Africa,2000,0.9277734001278639,48
Africa,2001,0.9767806571334192,49
Africa,2002,1.016292562134675,50
Africa,2003,0.9131996576579259,50
Africa,2004,1.1234202018126052,50
Africa,2005,1.2774489796038913,50
Africa,2006,1.4151259622069632,50
Africa,2007,1.5077719899979856,50
Africa,2008,1.5405740048257413,50
Africa,2009,1.4671824357200494,50
Africa,2010,1.5520900016184402,50
Africa,2011,1.4783997979513988,50
Africa,2012,1.633976911868696,50
Africa,2013,1.590534470408117,50
Africa,2014,1.6947133952139586,52
Africa,2015,1.7093956348328343,52
Africa,2016,1.64271501891791,52
Africa,2017,1.6024824447302428,52
Africa,2018,1.582199631138948,52
Africa,2019,1.5414665697883612,52
Africa,2020,1.293469123001186,52
Africa,2021,1.3270961793067653,52
Asia,1991,-0.7942029771117963,38
Asia,1992,-1.5931651849664135,38
Asia,1993,-0.2916769404762117,39
Asia,1994,-1.3781354789591291,40
Asia,1995,-0.4554355818765655,41
Asia,1996,0.2440701313611253,43
Asia,1997,0.629384132803142,43
Asia,1998,0.7023644602116271,43
Asia,1999,0.925962762773951,43
Asia,2000,1.2250832683440838,43
Asia,2001,1.468484658072784,45
Asia,2002,1.325417583400765,45
Asia,2003,1.4855189703937552,46
Asia,2004,1.8848701253487588,46
Asia,2005,2.0906113320225983,46
Asia,2006,2.29467581558552,46
Asia,2007,2.5243995168643005,46
Asia,2008,2.573044398909465,46
Asia,2009,2.478916091291329,46
Asia,2010,2.628039803272506,46
Asia,2011,2.712927508909408,46
Asia,2012,2.7499489737812564,46
Asia,2013,2.7535394632642882,46
Asia,2014,2.7159895260384794,46
Asia,2015,2.648520324739713,46
Asia,2016,2.6412243726243267,46
Asia,2017,2.6273574067805128,46
Asia,2018,2.616746854903135,46
Asia,2019,2.614118421536694,46
Asia,2020,2.299150571436045,45
Asia,2021,2.3759969285446765,44
Europe,1991,-2.3196090918688173,28
Europe,1992,-1.972560414088073,29
Europe,1993,-1.55743838491157,30
Europe,1994,-0.8321940238888812,30
Europe,1995,0.5129749622739762,31
Europe,1996,2.2246345434948878,39
Europe,1997,2.6204875812958646,39
Europe,1998,2.6989139576375543,41
Europe,1999,2.3157969807010637,41
Europe,2000,2.5668615846200113,41
Europe,2001,2.6216405466517703,41
Europe,2002,2.6403551554956417,41
Europe,2003,2.6924397242706744,41
Europe,2004,2.85779078069068,41
Europe,2005,2.9433970330214048,41
Europe,2006,3.0876740142608408,41
Europe,2007,3.2190475916244776,41
Europe,2008,3.133059347354445,41
Europe,2009,2.6191889081411155,42
Europe,2010,2.5563539904939225,42
Europe,2011,2.5153506175131817,42
Europe,2012,2.3547498273500485,42
Europe,2013,2.292236974768319,42
Europe,2014,2.261397322786576,42
Europe,2015,2.2792449205158123,42
Europe,2016,2.288481221060632,42
Europe,2017,2.3258411999963484,42
Europe,2018,2.3518421814995025,42
Europe,2019,2.3625336170255324,42
Europe,2020,2.085548404209494,42
Europe,2021,2.311985182438481,41
North America,1991,0.3879386380913671,24
North America,1992,1.354060202837894,24
North America,1993,1.5109954746461394,24
North America,1994,1.3208120134123325,24
North America,1995,1.397622057472426,24
North America,1996,1.4935484236508534,24
North America,1997,1.725531125139034,24
North America,1998,1.887430719287152,25
North America,1999,1.9966372165233899,25
North America,2000,2.135140505840417,25
North America,2001,2.003159282609776,26
North America,2002,1.861057668985156,26
North America,2003,1.8528976587168149,26
North America,2004,1.8950541849162168,26
North America,2005,1.9327706446270239,26
North America,2006,2.031862679314989,26
North America,2007,2.0158895530969843,27
North America,2008,1.9080967973956597,27
North America,2009,1.4812997038058129,27
North America,2010,1.4711232601335307,28
North America,2011,1.52778489647956,28
North America,2012,1.2110745330767263,29
North America,2013,1.1695052048929626,29
North America,2014,1.2717068478302762,29
North America,2015,1.3304770070908423,29
North America,2016,1.3373812491508363,29
North America,2017,1.25911901420896,29
North America,2018,1.2501476909581835,29
