continent,neet_2020_m,neet_base_m,neet_change_pp_mean
Africa,26.14,25.29875,0.8412500000000023
Asia,21.92695652173913,18.135238095238094,3.791718426501035
Europe,11.79135135135135,13.85625,-2.064898648648649
North America,23.03181818181818,21.815,1.21681818181818
Oceania,31.822,22.743333333333332,9.078666666666667
South America,24.225,18.94125,5.283750000000001
